prefetch_ops,rapl_mapped,rapl_unmapped,hs_mapped,hs_unmapped
47,33230.11111111111,18190.58865248227,0.0,0.07801418439716312
48,30693.88888888889,18172.965753424658,0.0,0.07534246575342465
49,31326.125,18137.702702702703,0.0,0.20270270270270271
50,30707.444444444445,18114.46357615894,0.0,0.15894039735099338
51,30802.333333333332,18093.31168831169,0.0,0.23376623376623376
52,33135.22222222222,18066.35668789809,0.0,0.3503184713375796
53,30693.777777777777,18051.8625,0.0,0.35
54,31440.625,18028.685185185186,0.0,0.3765432098765432
55,30727.777777777777,18009.006024096387,0.0,0.25903614457831325
56,33284.444444444445,18013.988165680472,0.0,0.1834319526627219
57,30700.555555555555,17991.488372093023,0.0,0.2616279069767442
58,31311.0,17965.914285714287,0.0,0.22857142857142856
59,30802.333333333332,17942.573033707864,0.0,0.2808988764044944
60,30700.555555555555,17923.944444444445,0.0,0.26666666666666666
61,32397.4,17894.532608695652,0.0,0.3641304347826087
62,31402.5,17879.317204301075,0.0,0.27956989247311825
63,30693.777777777777,17854.34736842105,0.0,0.32105263157894737
64,33223.444444444445,17843.833333333332,0.0,0.2760416666666667
65,30253.0,17827.20408163265,0.0,0.1989795918367347
66,31392.333333333332,17819.136363636364,0.0,0.21212121212121213
67,30535.8,17813.412935323384,0.0,0.24875621890547264
68,31827.0,17783.029411764706,0.0,0.27450980392156865
69,30499.2,17766.492753623188,0.0,0.30917874396135264
70,32379.1,17766.414285714287,0.0,0.5
71,30242.8,17739.69483568075,0.0,0.4131455399061033
72,29618.636363636364,17721.625,0.0,0.2222222222222222
73,29352.75,17719.188073394496,0.0,0.1743119266055046
74,30741.222222222223,17700.972972972973,0.0,0.17567567567567569
75,33148.88888888889,17695.27111111111,0.0,0.25333333333333335
76,31234.625,17687.886462882096,0.0,0.27074235807860264
77,33882.0,17670.165217391303,0.0,0.43478260869565216
78,36460.875,17654.764957264957,0.0,0.43162393162393164
79,32667.222222222223,17651.476793248945,0.0,0.24050632911392406
80,32735.11111111111,17642.675,0.0,0.2
81,32592.666666666668,17623.29218106996,0.0,0.1934156378600823
82,33309.875,17627.451219512193,0.0,0.1991869918699187
83,32389.222222222223,17609.947791164657,0.0,0.27710843373493976
84,34722.11111111111,17604.722222222223,0.0,0.49206349206349204
85,32206.222222222223,17595.38188976378,0.0,0.33070866141732286
86,32016.222222222223,17583.04651162791,0.0,0.20155038759689922
87,32009.444444444445,17576.444444444445,0.0,0.24521072796934865
88,31907.777777777777,17579.928030303032,0.0,0.1590909090909091
89,31121.7,17554.676691729324,0.0,0.20300751879699247
90,30981.4,17542.13703703704,0.0,0.37037037037037035
91,30262.272727272728,17540.967032967033,0.0,0.3333333333333333
92,28698.6,17536.503623188404,0.0,0.14130434782608695
93,32647.7,17522.53597122302,0.0,0.14388489208633093
94,28825.090909090908,17514.44680851064,0.0,0.1950354609929078
95,27029.785714285714,17515.33916083916,0.0,0.2692307692307692
96,26228.8,17509.625,0.0,0.4756944444444444
97,26196.2,17492.714776632303,0.0,0.33676975945017185
98,26131.133333333335,17493.79591836735,0.0,0.18027210884353742
99,27404.733333333334,17481.201342281878,0.0,0.18120805369127516
100,25772.0,17480.626666666667,0.0,0.22666666666666666
101,24662.2,17464.874587458748,0.0,0.5115511551155115
102,25707.1875,17453.82084690554,0.0,0.43973941368078173
103,25615.625,17463.912621359224,0.0,0.17475728155339806
104,25554.625,17447.79487179487,0.0,0.16346153846153846
105,24159.058823529413,17445.54603174603,0.0,0.2634920634920635
106,26653.25,17443.956112852666,0.0,0.4200626959247649
107,25463.0,17421.404984423676,0.0,0.48598130841121495
108,26370.764705882353,17423.043209876545,0.0,0.20987654320987653
109,25164.352941176472,17425.490853658535,0.0,0.20121951219512196
110,22898.882352941175,17406.072727272727,0.0,0.19090909090909092
111,23952.833333333332,17414.954954954956,0.0,0.44744744744744747
112,24932.833333333332,17397.699404761905,0.0,0.49404761904761907
113,26538.75,17400.538235294116,0.0,0.14411764705882352
114,27736.625,17388.730994152047,0.0,0.21929824561403508
115,26794.333333333332,17397.626086956523,0.0,0.263768115942029
116,26140.941176470587,17371.191977077364,0.0,0.673352435530086
117,26101.41176470588,17373.065527065526,0.0,0.34472934472934474
118,24963.352941176472,17356.870056497177,0.0,0.1977401129943503
119,25800.833333333332,17352.577030812325,0.0,0.19047619047619047
120,23661.222222222223,17356.76454293629,0.0,0.3988919667590028
121,24678.5,17357.479338842975,0.0,0.5482093663911846
122,24671.722222222223,17347.614754098362,0.0,0.1830601092896175
123,23649.42105263158,17334.27027027027,0.0,0.15135135135135136
124,24539.315789473683,17334.266129032258,0.0,0.271505376344086
125,24584.263157894737,17334.917333333335,0.0,0.5973333333333334
126,24858.166666666668,17334.100263852244,0.0,0.19261213720316622
127,24966.722222222223,17326.57217847769,0.0,0.15748031496062992
