num_read,flip,energy_uj_dram
65000,0.0,45102.13407821229
65000,0.0,43663.57360406091
65000,0.0,42411.34112149533
65000,0.0,41436.4525862069
65000,0.0,40559.58167330677
65000,0.0,40026.84269662921
65000,0.0,40649.103678929765
65000,0.0,40828.97682119205
65000,0.0,41145.36024844721
65000,0.0,40833.135693215336
65000,0.0,40432.011204481794
65000,0.0,40191.139410187665
65000,0.0,39807.58928571428
65000,0.162227602905569,39249.50485436893
65000,0.31220657276995306,38926.4
65000,0.1210762331838565,38476.05168539326
65000,0.1400862068965517,38090.71706263499
65000,0.27364185110663986,37469.95161290323
65000,0.04054054054054054,37098.181818181816
70000,0.0,46606.616766467065
70000,0.0,43929.93877551021
70000,0.0,45563.49152542373
70000,0.0,44038.78974358975
70000,0.0,42739.6168224299
70000,0.0,41810.565217391304
70000,0.0,41030.34412955466
70000,0.0,40241.49812734083
70000,0.0,40995.17647058824
70000,0.0,41073.71760797342
70000,0.0,41337.426791277256
70000,0.0,41113.32047477745
70000,0.0,40715.64425770308
70000,0.0,40493.7688172043
70000,0.0,40140.47557840617
70000,0.07371007371007371,39661.02463054187
70000,0.20046620046620048,39115.59345794393
70000,0.12837837837837837,38808.7539503386
70000,0.1282608695652174,38438.88453159041
70000,0.20925553319919518,37745.471774193546
70000,0.07736943907156674,37382.51937984496
75000,0.0,46920.843373493975
75000,0.0,44233.64467005076
75000,0.0,45871.27272727273
75000,0.0,44337.07692307692
75000,0.0,43021.40186915888
75000,0.0,42077.2652173913
75000,0.0,41294.25506072875
75000,0.0,40555.691729323305
75000,0.0,41280.07213114754
75000,0.0,41315.81
75000,0.0,41590.504672897194
75000,0.0,41391.507418397625
75000,0.0,40986.20224719101
75000,0.0,40778.43548387097
75000,0.0,40417.879177377894
75000,0.09852216748768473,39922.61728395062
75000,0.34976525821596244,39507.16470588235
75000,0.17647058823529413,39077.07029478458
75000,0.11739130434782609,38727.7037037037
75000,0.26156941649899396,37999.209677419356
75000,0.138996138996139,37652.92843326886
80000,0.0,47190.34939759036
80000,0.0,44479.33502538071
80000,0.0,46105.5593220339
80000,0.0,44598.743589743586
80000,0.0,43291.2910798122
80000,0.0,42354.83913043478
80000,0.0,41544.817813765185
80000,0.0,40781.895131086145
80000,0.0,41468.8954248366
80000,0.0,41543.544850498336
80000,0.0,41795.85669781931
80000,0.0,41621.703264094955
80000,0.0,41232.22752808989
80000,0.0,41022.55495978552
80000,0.0,40702.34190231362
80000,0.08866995073891626,40188.0049382716
80000,0.27058823529411763,39766.17452830189
80000,0.0945945945945946,39347.460496613996
80000,0.09347826086956522,38978.09586056645
80000,0.31388329979879276,38276.45161290323
80000,0.10251450676982592,37924.5
