time,memory_offset,activation_count
441,0xb7a,1291653.0
442,0xb7c,2391653.0
443,0xb7e,3291653.0
444,0xb80,2811653.0
445,0xb82,2091653.0
446,0xb84,1683653.0
447,0xb86,1350853.0
448,0xb88,451681.0
449,0xb8a,592680.0
450,0xb8c,1529193.0
451,0xb8e,1575428.0
452,0xb90,380285.0
453,0xb92,456083.0
454,0xb94,1497134.0
455,0xb96,1054126.0
456,0xb98,1055845.0
457,0xb9a,1087762.0
458,0xb9c,454871.0
459,0xb9e,448298.0
460,0xba0,443226.0
461,0xba2,443734.0
462,0xba4,444656.0
463,0xba6,442405.0
464,0xba8,445100.0
465,0xbaa,444904.0
466,0xbac,444602.0
467,0xbae,443065.0
468,0xbb0,441794.0
469,0xbb2,440828.0
470,0xbb4,442156.0
471,0xbb6,442712.0
472,0xbb8,442020.0
473,0xbba,442009.0
474,0xbbc,442177.0
475,0xbbe,443042.0
476,0xbc0,442788.0
477,0xbc2,442991.0
478,0xbc4,444182.0
479,0xbc6,437943.0
480,0xbc8,445513.0
481,0xbca,442269.0
482,0xbcc,441927.0
483,0xbce,440484.0
484,0xbd0,440484.0
485,0xbd2,438405.0
486,0xbd4,443871.0
487,0xbd6,444084.0
488,0xbd8,443783.0
489,0xbda,439907.0
490,0xbdc,445853.0
491,0xbde,441975.0
492,0xbe0,440534.0
493,0xbe2,438826.0
494,0xbe4,444408.0
495,0xbe6,442157.0
496,0xbe8,441721.0
497,0xbea,444373.0
498,0xbec,441732.0
499,0xbee,441571.0
500,0xbf0,441661.0
501,0xbf2,441675.0
502,0xbf4,441686.0
503,0xbf6,441747.0
504,0xbf8,441976.0
505,0xbfa,441999.0
506,0xbfc,441842.0
507,0xbfe,443416.0
508,0xc00,444826.0
509,0xc02,444485.0
510,0xc04,444119.0
511,0xc06,1043957.0
