time,hs_activations,rapl_delta
27.007413244,433741,638609
27.092610063,433746,638792
27.177806666,433742,638793
27.263004239,433736,638609
27.348199953,433741,638853
27.433397682,433737,646544
27.518594599,433733,638792
27.603790867,433727,638915
27.688988036,433732,638670
27.774184933,433737,646666
27.859382038,433744,638731
27.944580283,433751,638853
28.02977495,433761,638549
28.114973315,433772,638792
28.200169732,433785,646849
28.285366244,433774,638670
28.370562885,433784,638792
28.455760399,433776,638732
28.540957105,433766,638975
28.626154327,433774,646239
28.711351354,433784,638914
28.796548647,433776,638731
28.881745839,433782,638915
28.966943819,433777,638609
29.052139185,433770,646788
29.137335113,433776,638792
29.222531934,433771,638976
29.307728918,433775,638792
29.39292597,433780,638670
29.478122855,433776,646483
29.563321959,433779,638792
29.648518464,433783,638731
29.733715619,433780,638854
29.818912129,433782,638792
29.904109211,433785,646666
29.989307939,433783,638792
30.074503811,433780,639098
30.159698973,433782,638670
30.24489748,433780,638670
30.330094667,433782,638609
30.415289809,433784,646788
30.500487043,433782,638793
30.585684354,433780,638731
30.670881166,433782,638975
30.756077851,433780,638609
30.841275007,433779,646666
30.926471862,433780,638732
31.011668244,433782,638914
31.096866078,433784,638731
31.18206185,433787,638793
31.267258853,433784,646482
31.352456592,433786,638854
31.437653082,433788,638731
31.522849898,433787,638792
31.60804727,433784,638731
31.693244081,433786,646422
31.778440995,433785,638792
31.863637422,433786,638854
31.94883506,433788,638670
32.034031983,433786,646666
32.119227923,433785,639036
32.204426825,433786,638732
32.289621963,433788,638731
32.374819313,433789,638853
32.460016009,433792,646788
32.5452132,433790,638914
32.630411179,433788,638793
32.715607126,433789,638731
32.800805257,433788,638853
32.886001777,433786,638610
32.97119754,433788,646726
33.056395881,433786,638793
33.141592432,433787,638792
33.226788519,433789,638609
33.311986878,433788,638976
33.397182511,433786,646482
33.482380562,433787,638976
33.567578406,433786,638731
33.652773969,433787,638976
33.737969693,433789,638731
33.823167856,433790,646605
33.908363239,433789,638853
33.993561536,433790,638548
34.078759008,433789,638853
34.16395559,433790,638854
34.249150903,433791,646666
34.334347979,433792,638914
34.419545285,433791,638670
34.504742727,433792,638915
34.589939248,433793,638731
34.675134872,433795,638670
34.760332023,433797,646605
34.845528788,433795,638670
34.93072658,433796,638792
35.015923327,433798,638915
35.10112012,433797,646605
35.186317344,433795,638914
35.271515475,433796,638609
35.356711417,433795,638732
35.441907926,433796,638853
35.527105323,433798,646361
35.612301722,433797,639097
35.69749809,433798,638731
35.782695203,433799,638793
35.867892145,433798,638609
35.953089049,433799,646605
36.038285993,433800,638853
36.123484974,433801,638792
36.208681611,433800,638670
36.293877205,433801,638610
36.37907518,433800,638914
36.464271413,433799,646483
36.549467173,433800,638731
36.634664448,433799,638670
36.719861078,433800,638793
36.805059746,433799,638670
36.890255031,433798,646849
36.975452248,433796,638670
37.060649252,433798,638670
37.145846685,433797,638670
37.23104416,433795,638793
37.316239234,433796,646666
37.40143704,433795,638792
37.48663311,433794,638853
37.57183046,433795,638671
37.657027158,433794,638609
37.742223374,433795,646605
37.827420514,433796,638670
37.912617083,433798,638914
37.99781456,433797,638670
38.083011712,433798,638671
38.168208377,433797,646604
38.253405567,433798,638915
38.338602635,433799,638853
38.423798204,433798,638731
38.508995024,433797,638854
38.594192454,433798,646482
38.679389863,433797,638732
38.764586174,433795,638914
38.849783887,433796,638548
38.934980242,433795,638976
