time,candidate_byte_value,success_rate
188.6791368,Z,0.75
189.16921248,Z,0.5
189.65928816,Z,0.75
190.14936384,Z,1.0
190.63943952,Z,0.5
191.1295152,Z,0.875
191.61959088,Z,0.875
192.10966656,Z,0.875
192.59974224,Z,0.75
193.08981792,Z,0.625
193.5798936,Z,0.625
194.06996928,Z,0.625
194.56004496,Z,0.75
