base_index,flip_index,start_time,end_time,flip,flip_value
459953,459961,1644174796807062821,1644174796835155078,1,18446742974197923839
459953,459961,1644174796835306899,1644174796863492743,1,18446742974197923839
459953,459961,1644174796863533335,1644174796891571127,0,18446744073709551615
459953,459961,1644174796891608746,1644174796919913529,1,18446742974197923839
459953,459961,1644174796919951288,1644174796948002649,0,18446744073709551615
459953,459961,1644174796948038293,1644174796976136820,0,18446744073709551615
459953,459961,1644174796976172667,1644174797004262122,0,18446744073709551615
459953,459961,1644174797004297841,1644174797032356552,0,18446744073709551615
459953,459961,1644174797032392741,1644174797060454930,0,18446744073709551615
459953,459961,1644174797060489317,1644174797088561182,0,18446744073709551615
459953,459961,1644174797088598195,1644174797116649338,0,18446744073709551615
459953,459961,1644174797116684343,1644174797144781977,0,18446744073709551615
459953,459961,1644174797144818185,1644174797172886542,0,18446744073709551615
459953,459961,1644174797172921663,1644174797200999743,1,18446742974197923839
459953,459961,1644174797201151326,1644174797229254842,1,18446742974197923839
459953,459961,1644174797229296421,1644174797257357198,1,18446742974197923839
459953,459961,1644174797257394573,1644174797285455632,1,18446742974197923839
459953,459961,1644174797285497045,1644174797313566488,1,18446742974197923839
459953,459961,1644174797313715209,1644174797341771168,0,18446744073709551615
459953,459961,1644174797341810981,1644174797369892570,0,18446744073709551615
459953,459961,1644174797369927989,1644174797398042411,0,18446744073709551615
459953,459961,1644174797398099716,1644174797426372175,0,18446744073709551615
459953,459961,1644174797426408911,1644174797454535926,0,18446744073709551615
459953,459961,1644174797454570986,1644174797482630530,0,18446744073709551615
459953,459961,1644174797482666097,1644174797510755987,0,18446744073709551615
459953,459961,1644174797510791808,1644174797538884944,0,18446744073709551615
459953,459961,1644174797538920765,1644174797567043583,0,18446744073709551615
459953,459961,1644174797567077880,1644174797595233235,0,18446744073709551615
459953,459961,1644174797595268632,1644174797623331620,1,18446742974197923839
459953,459961,1644174797623368695,1644174797651422285,0,18446744073709551615
459953,459961,1644174797651456364,1644174797679581409,1,18446742974197923839
459953,459961,1644174797679733191,1644174797707780191,0,18446744073709551615
459953,459961,1644174797707818670,1644174797735886522,0,18446744073709551615
459953,459961,1644174797735924784,1644174797764028763,0,18446744073709551615
459953,459961,1644174797764063796,1644174797792201533,0,18446744073709551615
459953,459961,1644174797792237980,1644174797820390943,0,18446744073709551615
459953,459961,1644174797820426511,1644174797848478005,0,18446744073709551615
459953,459961,1644174797848513821,1644174797876577912,0,18446744073709551615
459953,459961,1644174797876613209,1644174797904734362,0,18446744073709551615
459953,459961,1644174797904768623,1644174797932923052,1,18446742974197923839
459953,459961,1644174797932960098,1644174797961111107,0,18446744073709551615
459953,459961,1644174797961145684,1644174797989244407,1,18446742974197923839
459953,459961,1644174797989376787,1644174798017454456,1,18446742974197923839
459953,459961,1644174798017493283,1644174798045550692,1,18446742974197923839
459953,459961,1644174798045590017,1644174798073694935,0,18446744073709551615
459953,459961,1644174798073731807,1644174798101789556,0,18446744073709551615
459953,459961,1644174798101824473,1644174798129903714,0,18446744073709551615
459953,459961,1644174798129939638,1644174798157980555,0,18446744073709551615
459953,459961,1644174798158017013,1644174798186108136,0,18446744073709551615
459953,459961,1644174798186143666,1644174798214221876,0,18446744073709551615
459953,459961,1644174798214256624,1644174798242320158,0,18446744073709551615
459953,459961,1644174798242356334,1644174798270417054,1,18446742974197923839
459953,459961,1644174798270567003,1644174798298699568,1,18446742974197923839
459953,459961,1644174798298740225,1644174798326867813,1,18446742974197923839
459953,459961,1644174798326907204,1644174798354971650,1,18446742974197923839
459953,459961,1644174798355008527,1644174798383060698,0,18446744073709551615
459953,459961,1644174798383096893,1644174798411304639,0,18446744073709551615
459953,459961,1644174798411339511,1644174798439537533,0,18446744073709551615
459953,459961,1644174798439573747,1644174798467635311,0,18446744073709551615
